date,vt1,vt1.5,vt2,vt2.5,vt3,ma1,ma2,ma3,ct1,ct2,ct3,ny1,ny2,ny3,pa1,pa2,pa3,de1,de2,de3,md1,md2,md3,vt1.cum,vt1.5.cum,vt2.cum,vt2.5.cum,vt3.cum,ma1.cum,ma2.cum,ma3.cum,ct1.cum,ct2.cum,ct3.cum,ny1.cum,ny2.cum,ny3.cum,pa1.cum,pa2.cum,pa3.cum,de1.cum,de2.cum,de3.cum,md1.cum,md2.cum,md3.cum,,,,,,,,,
10/2/22,7.917683385,7.917683385,7.917683385,0,0,12.05,0,0,9.5,0,0,16.5,0,0,0,0,0,0,0,0,0,0,0,361.5891332,208.6891332,126.2891332,0,0,199.0102249,0,0,49,0,0,34.37392577,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
10/3/22,7.964676814,7.964676814,7.964676814,7.964676814,0,9.6,0,0,10,0,0,9.595518946,0,0,0,0,0,0,0,0,0,0,0,369.55381,216.65381,134.25381,7.964676814,0,208.6102249,0,0,59,0,0,43.96944472,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
10/4/22,10.28620244,10.28620244,10.28620244,10.28620244,0,12,0,0,8,0,0,9.5,0,0,0,0,0,0,0,0,0,0,0,379.8400124,226.9400124,144.5400124,18.25087925,0,220.6102249,0,0,67,0,0,53.46944472,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
10/5/22,14.33044011,14.33044011,14.33044011,14.33044011,0,16.2,0,0,10.5,0,0,8.5,0,0,0,0,0,0,0,0,0,0,0,394.1704526,241.2704526,158.8704526,32.58131936,0,236.8102249,0,0,77.5,0,0,61.96944472,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
10/6/22,18.4,18.4,18.4,18.4,0,22.6,22.6,0,14.5,0,0,15,0,0,0,0,0,0,0,0,0,0,0,412.5704526,259.6704526,177.2704526,50.98131936,0,259.4102249,22.6,0,92,0,0,76.96944472,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
10/7/22,12.5,12.5,12.5,12.5,0,23.85,23.85,0,20.5,0,0,20,0,0,0,0,0,0,0,0,0,0,0,425.0704526,272.1704526,189.7704526,63.48131936,0,283.2602249,46.45,0,112.5,0,0,96.96944472,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
10/8/22,4.862785567,4.862785567,4.862785567,4.862785567,0,8.844158102,8.844158102,0,11,0,0,9.5,0,0,0,0,0,0,0,0,0,0,0,429.9332381,277.0332381,194.6332381,68.34410493,0,292.104383,55.2941581,0,123.5,0,0,106.4694447,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
10/9/22,5.853300583,5.853300583,5.853300583,5.853300583,0,9.966629397,9.966629397,0,5.73746016,0,0,4.35383649,0,0,0,0,0,0,0,0,0,0,0,435.7865387,282.8865387,200.4865387,74.19740551,0,302.0710124,65.2607875,0,129.2374602,0,0,110.8232812,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
10/10/22,5.556658689,5.556658689,5.556658689,5.556658689,5.556658689,13.65,13.65,0,6.777390654,0,0,10,0,0,10.64895841,0,0,0,0,0,0,0,0,441.3431974,288.4431974,206.0431974,79.7540642,5.556658689,315.7210124,78.9107875,0,136.0148508,0,0,120.8232812,0,0,10.64895841,0,0,0,0,0,0,0,0,,,,,,,,,
10/11/22,8.135464421,8.135464421,8.135464421,8.135464421,8.135464421,13.31676626,13.31676626,0,8,0,0,7.411369941,0,0,12.93618403,0,0,0,0,0,0,0,0,449.4786618,296.5786618,214.1786618,87.88952862,13.69212311,329.0377786,92.22755376,0,144.0148508,0,0,128.2346512,0,0,23.58514244,0,0,0,0,0,0,0,0,,,,,,,,,
10/12/22,18.75,18.75,18.75,18.75,18.75,16.45,16.45,0,12.5,0,0,13.06150947,13.06150947,0,12.535337,0,0,17.3,0,0,0,0,0,468.2286618,315.3286618,232.9286618,106.6395286,32.44212311,345.4877786,108.6775538,0,156.5148508,0,0,141.2961606,13.06150947,0,36.12047945,0,0,17.3,0,0,0,0,0,,,,,,,,,
10/13/22,19.5,19.5,19.5,19.5,19.5,20.8,20.8,0,17,17,0,20.5,20.5,0,15.4,0,0,26,0,0,0,0,0,487.7286618,334.8286618,252.4286618,126.1395286,51.94212311,366.2877786,129.4775538,0,173.5148508,17,0,161.7961606,33.56150947,0,51.52047945,0,0,43.3,0,0,0,0,0,,,,,,,,,
10/14/22,14,14,14,14,14,16.4,16.4,0,12.5,12.5,0,12,12,0,8.293473178,0,0,17.45,0,0,0,0,0,501.7286618,348.8286618,266.4286618,140.1395286,65.94212311,382.6877786,145.8775538,0,186.0148508,29.5,0,173.7961606,45.56150947,0,59.81395263,0,0,60.75,0,0,0,0,0,,,,,,,,,
10/15/22,13.3,13.3,13.3,13.3,13.3,15.95,15.95,0,11.5,11.5,0,11,11,0,13.84371583,0,0,17.30666431,0,0,0,0,0,515.0286618,362.1286618,279.7286618,153.4395286,79.24212311,398.6377786,161.8275538,0,197.5148508,41,0,184.7961606,56.56150947,0,73.65766845,0,0,78.05666431,0,0,0,0,0,,,,,,,,,
10/16/22,9.96843986,9.96843986,9.96843986,9.96843986,9.96843986,13.5,13.5,0,15,15,0,12.12126076,12.12126076,0,10.03890067,0,0,20.4,0,0,0,0,0,524.9971017,372.0971017,289.6971017,163.4079685,89.21056297,412.1377786,175.3275538,0,212.5148508,56,0,196.9174214,68.68277023,0,83.69656912,0,0,98.45666431,0,0,0,0,0,,,,,,,,,
10/17/22,10.6,10.6,10.6,10.6,10.6,7.1,7.1,0,14.5,14.5,0,10.24979535,10.24979535,0,5.733307201,0,0,20.7,0,0,0,0,0,535.5971017,382.6971017,300.2971017,174.0079685,99.81056297,419.2377786,182.4275538,0,227.0148508,70.5,0,207.1672167,78.93256559,0,89.42987632,0,0,119.1566643,0,0,0,0,0,,,,,,,,,
10/18/22,9.4,9.4,9.4,9.4,9.4,9.405529204,9.405529204,0,12.5,12.5,0,6.371741451,6.371741451,0,1.111951502,0,0,8.25,0,0,0,0,0,544.9971017,392.0971017,309.6971017,183.4079685,109.210563,428.6433078,191.833083,0,239.5148508,83,0,213.5389582,85.30430704,0,90.54182783,0,0,127.4066643,0,0,0,0,0,,,,,,,,,
