date,vt1,vt1.5,vt2,vt2.5,vt3,ma1,ma2,ma3,ny1,ny2,ny3,md1,md2,md3,pa1,pa2,pa3,de1,de2,de3,vt1.cum,vt1.5.cum,vt2.cum,vt2.5.cum,vt3.cum,ma1.cum,ma2.cum,ma3.cum,ny1.cum,ny2.cum,ny3.cum,md1.cum,md2.cum,md3.cum,pa1.cum,pa2.cum,pa3.cum,de1.cum,de2.cum,de3.cum
10/13/21,24.75,24.75,24.75,24.75,0,22.30,22.30,0,22.5,0,0,27.5,0,0,24.05,0,0,25.4,0,0,490.8658382,272.7658382,161.05,24.75,0,498.2,178.45,0,283.3335187,0,0,292.5,0,0,159.25,0,0,25.4,0,0
10/14/21,26,26,26,26,0,25.95,25.95,0,20.5,0,0,25.5,0,0,22.15,0,0,27.6,0,0,516.8658382,298.7658382,187.05,50.75,0,524.15,204.4,0,303.8335187,0,0,318,0,0,181.4,0,0,53,0,0
10/15/21,25.5,25.5,25.5,25.5,0,24.05,24.05,0,21.5,0,0,28,0,0,29.3,0,0,29.4,0,0,542.3658382,324.2658382,212.55,76.25,0,548.2,228.45,0,325.3335187,0,0,346,0,0,210.7,0,0,82.4,0,0
10/16/21,23.35,23.35,23.35,23.35,0,26.25,26.25,0,29,0,0,31.5,0,0,18.85,0,0,30.4,0,0,565.7158382,347.6158382,235.9,99.6,0,574.45,254.7,0,354.3335187,0,0,377.5,0,0,229.55,0,0,112.8,0,0
10/17/21,13.1,13.1,13.1,13.1,0,14.60,14.60,0,17.5,0,0,24,0,0,10.5,0,0,15.85,0,0,578.8158382,360.7158382,249,112.7,0,589.05,269.3,0,371.8335187,0,0,401.5,0,0,240.05,0,0,128.65,0,0
10/18/21,9.1,9.1,9.1,9.1,0,10.45,10.45,0,10,0,0,13,0,0,11.4,0,0,15.4,0,0,587.9158382,369.8158382,258.1,121.8,0,599.5,279.75,0,381.8335187,0,0,414.5,0,0,251.45,0,0,144.05,0,0
10/19/21,7.5,7.5,7.5,7.5,0,11.41,11.41,0,3.388695327,0,0,12.72776922,0,0,14,0,0,14.55,0,0,595.4158382,377.3158382,265.6,129.3,0,610.91,291.1558935,0,385.222214,0,0,427.2277692,0,0,265.45,0,0,158.6,0,0
10/20/21,14.1,14.1,14.1,14.1,14.1,20.00,20.00,0,11.08983269,0,0,19.5,0,0,19.05,0,0,23.8,0,0,609.5158382,391.4158382,279.7,143.4,14.1,630.91,311.1558935,0,396.3120467,0,0,446.7277692,0,0,284.5,0,0,182.4,0,0
10/21/21,16.6,16.6,16.6,16.6,16.6,22.95,22.95,0,15.5,15.5,0,20,20,0,18.65,0,0,23.75,0,0,626.1158382,408.0158382,296.3,160,30.7,653.86,334.1058935,0,411.8120467,15.5,0,466.7277692,20,0,303.15,0,0,206.15,0,0
10/22/21,10.45,10.45,10.45,10.45,10.45,18.10,18.10,0,17.5,17.5,0,25.5,25.5,0,12.85,17.1,0,23.15,0,0,636.5658382,418.4658382,306.75,170.45,41.15,671.96,352.2058935,0,429.3120467,33,0,492.2277692,45.5,0,316,17.1,0,229.3,0,0
